CountryName,CountryCode,RegionName,RegionCode,Date,C1_School closing,C2_Workplace closing,C3_Cancel public events,C4_Restrictions on gatherings,C5_Close public transport,C6_Stay at home requirements,C7_Restrictions on internal movement,C8_International travel controls,E1_Income support,E2_Debt/contract relief,E3_Fiscal measures,E4_International support,H1_Public information campaigns,H2_Testing policy,H3_Contact tracing,H4_Emergency investment in healthcare,H5_Investment in vaccines,H6_Facial Coverings
United Kingdom,GBR,Wales,UK_WAL,2020-06-01,3.0,2.0,2.0,4.0,1.0,2.0,2.0,0.0,2.0,2.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0
Georgia,GEO,,,2020-06-01,3.0,2.0,2.0,3.0,0.0,2.0,1.0,4.0,1.0,1.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,2.0
Ghana,GHA,,,2020-06-01,3.0,1.0,2.0,3.0,0.0,0.0,0.0,4.0,0.0,2.0,0.0,0.0,2.0,3.0,2.0,0.0,0.0,2.0
Gibraltar,GIB,,,2020-06-01,2.0,2.0,2.0,3.0,0.0,0.0,0.0,3.0,1.0,,,,2.0,2.0,2.0,,,0.0
Guinea,GIN,,,2020-06-01,3.0,2.0,2.0,3.0,1.0,2.0,2.0,4.0,1.0,2.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,4.0
Gambia,GMB,,,2020-06-01,3.0,2.0,2.0,4.0,1.0,1.0,1.0,4.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0
Greece,GRC,,,2020-06-01,1.0,0.0,2.0,3.0,1.0,1.0,1.0,3.0,2.0,1.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,2.0
Greenland,GRL,,,2020-06-01,1.0,0.0,2.0,2.0,0.0,1.0,1.0,4.0,2.0,0.0,0.0,0.0,2.0,3.0,2.0,0.0,0.0,0.0
Guatemala,GTM,,,2020-06-01,3.0,3.0,2.0,4.0,2.0,2.0,2.0,4.0,1.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,3.0
Guam,GUM,,,2020-06-01,3.0,2.0,2.0,3.0,1.0,1.0,0.0,2.0,1.0,0.0,20000000.0,0.0,2.0,3.0,1.0,0.0,0.0,3.0
Guyana,GUY,,,2020-06-01,3.0,2.0,2.0,4.0,1.0,2.0,2.0,4.0,0.0,1.0,0.0,0.0,2.0,1.0,2.0,0.0,0.0,2.0
Hong Kong,HKG,,,2020-06-01,2.0,0.0,2.0,3.0,0.0,1.0,0.0,4.0,2.0,2.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,1.0
Honduras,HND,,,2020-06-01,3.0,3.0,2.0,4.0,2.0,3.0,2.0,4.0,2.0,2.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,3.0
Croatia,HRV,,,2020-06-01,2.0,1.0,1.0,2.0,1.0,1.0,0.0,3.0,2.0,2.0,0.0,0.0,2.0,3.0,2.0,0.0,0.0,0.0
